Genotype	survey_date	size	sizeNext	survival	population
BH_1_13	2023-09-13	3.3	3.6	1	BH
BH_1_13	2023-09-20	3.6	4.3	1	BH
BH_1_13	2023-10-13	4.3	3.6	1	BH
BH_1_13	2023-10-20	3.6	NA	1	BH
BH_1_2	2023-07-03	2.3	NA	0	BH
BH_1_3	2023-07-03	3.6	NA	0	BH
BH_1_4	2023-07-03	1.5	2.2	1	BH
BH_1_4	2023-07-26	2.2	2.2	1	BH
BH_1_4	2023-08-02	2.2	1.7	1	BH
BH_1_4	2023-08-16	1.7	2.1	1	BH
BH_1_4	2023-08-23	2.1	2.2	1	BH
BH_1_4	2023-08-30	2.2	2.3	1	BH
BH_1_4	2023-09-06	2.3	2.1	1	BH
BH_1_4	2023-09-13	2.1	2.3	1	BH
BH_1_4	2023-09-20	2.3	2.2	1	BH
BH_1_4	2023-09-27	2.2	2.5	1	BH
BH_1_4	2023-10-20	2.5	NA	1	BH
BH_1_5	2023-07-03	1.8	3.4	1	BH
BH_1_5	2023-07-26	3.4	3.7	1	BH
BH_1_5	2023-08-02	3.7	NA	0	BH
BH_1_6	2023-07-03	1.4	NA	0	BH
BH_1_7	2023-07-03	2.1	3.4	1	BH
BH_1_7	2023-07-26	3.4	3.1	1	BH
BH_1_7	2023-08-02	3.1	3.5	1	BH
BH_1_7	2023-08-16	3.5	3.2	1	BH
BH_1_7	2023-08-23	3.2	3.1	1	BH
BH_1_7	2023-08-30	3.1	3.4	1	BH
BH_1_7	2023-09-06	3.4	3.8	1	BH
BH_1_7	2023-09-13	3.8	3.7	1	BH
BH_1_7	2023-09-20	3.7	4.3	1	BH
BH_1_7	2023-09-27	4.3	5.2	1	BH
BH_1_7	2023-10-20	5.2	NA	1	BH
BH_1_8	2023-07-03	1.1	NA	0	BH
BH_1_9	2023-07-03	2.5	NA	0	BH
BH_2_1	2023-07-03	4.3	6.4	1	BH
BH_2_1	2023-07-26	6.4	6.7	1	BH
BH_2_1	2023-08-02	6.7	7	1	BH
BH_2_1	2023-08-16	7	7.8	1	BH
BH_2_1	2023-08-23	7.8	7.1	1	BH
BH_2_1	2023-08-30	7.1	6.7	1	BH
BH_2_1	2023-09-06	6.7	7.2	1	BH
BH_2_1	2023-09-13	7.2	7.5	1	BH
BH_2_1	2023-09-20	7.5	7.7	1	BH
BH_2_1	2023-10-13	7.7	7.3	1	BH
BH_2_1	2023-10-20	7.3	NA	1	BH
BH_2_10	2023-07-03	2.6	5.1	1	BH
BH_2_10	2023-07-26	5.1	3.9	1	BH
BH_2_10	2023-08-02	3.9	4.6	1	BH
BH_2_10	2023-08-16	4.6	1.3	1	BH
BH_2_10	2023-08-23	1.3	3.9	1	BH
BH_2_10	2023-08-30	3.9	6.4	1	BH
BH_2_10	2023-09-06	6.4	8.2	1	BH
BH_2_10	2023-09-13	8.2	6.8	1	BH
BH_2_10	2023-09-20	6.8	10.7	1	BH
BH_2_10	2023-10-13	10.7	9.2	1	BH
BH_2_10	2023-10-20	9.2	NA	1	BH
BH_2_11	2023-07-03	3.5	5.1	1	BH
BH_2_11	2023-07-26	5.1	6.5	1	BH
BH_2_11	2023-08-02	6.5	6.6	1	BH
BH_2_11	2023-08-16	6.6	5.2	1	BH
BH_2_11	2023-08-23	5.2	6.5	1	BH
BH_2_11	2023-08-30	6.5	7.1	1	BH
BH_2_11	2023-09-06	7.1	7	1	BH
BH_2_11	2023-09-13	7	7.2	1	BH
BH_2_11	2023-09-20	7.2	7.3	1	BH
BH_2_11	2023-10-13	7.3	7.1	1	BH
BH_2_11	2023-10-20	7.1	NA	1	BH
BH_2_12	2023-07-03	3	6.1	1	BH
BH_2_12	2023-07-26	6.1	8	1	BH
BH_2_12	2023-08-02	8	6.7	1	BH
BH_2_12	2023-08-16	6.7	6.9	1	BH
BH_2_12	2023-08-23	6.9	7.1	1	BH
BH_2_12	2023-08-30	7.1	8	1	BH
BH_2_12	2023-09-06	8	8.2	1	BH
BH_2_12	2023-09-13	8.2	6.4	1	BH
BH_2_12	2023-09-20	6.4	7	1	BH
BH_2_12	2023-10-13	7	7.4	1	BH
BH_2_12	2023-10-20	7.4	NA	1	BH
BH_2_13	2023-07-03	1.6	3.2	1	BH
BH_2_13	2023-07-26	3.2	5.7	1	BH
BH_2_13	2023-08-02	5.7	3.4	1	BH
BH_2_13	2023-08-16	3.4	3.3	1	BH
BH_2_13	2023-08-23	3.3	3.5	1	BH
BH_2_13	2023-08-30	3.5	4.1	1	BH
BH_2_13	2023-09-06	4.1	3.3	1	BH
BH_2_13	2023-09-13	3.3	4	1	BH
BH_2_13	2023-09-20	4	3.5	1	BH
BH_2_13	2023-10-13	3.5	3.9	1	BH
BH_2_13	2023-10-20	3.9	NA	1	BH
BH_2_2	2023-07-03	4	5.5	1	BH
BH_2_2	2023-07-26	5.5	5.8	1	BH
BH_2_2	2023-08-02	5.8	5.6	1	BH
BH_2_2	2023-08-16	5.6	6.6	1	BH
BH_2_2	2023-08-23	6.6	6.1	1	BH
BH_2_2	2023-08-30	6.1	6.6	1	BH
BH_2_2	2023-09-06	6.6	6.3	1	BH
BH_2_2	2023-09-13	6.3	6.1	1	BH
BH_2_2	2023-09-20	6.1	6	1	BH
BH_2_2	2023-10-13	6	6	1	BH
BH_2_2	2023-10-20	6	NA	1	BH
BH_2_3	2023-07-03	3.6	6.7	1	BH
BH_2_3	2023-07-26	6.7	7.2	1	BH
BH_2_3	2023-08-02	7.2	5.7	1	BH
BH_2_3	2023-08-16	5.7	6.2	1	BH
BH_2_3	2023-08-23	6.2	6.6	1	BH
BH_2_3	2023-08-30	6.6	6.7	1	BH
BH_2_3	2023-09-06	6.7	6.9	1	BH
BH_2_3	2023-09-13	6.9	6.7	1	BH
BH_2_3	2023-09-20	6.7	8.2	1	BH
BH_2_3	2023-09-27	8.2	8.8	1	BH
BH_2_3	2023-10-20	8.8	NA	1	BH
BH_2_4	2023-07-03	2	4.7	1	BH
BH_2_4	2023-07-26	4.7	5	1	BH
BH_2_4	2023-08-02	5	5.1	1	BH
BH_2_4	2023-08-16	5.1	5.9	1	BH
BH_2_4	2023-08-23	5.9	6.1	1	BH
BH_2_4	2023-08-30	6.1	6.7	1	BH
BH_2_4	2023-09-06	6.7	7.1	1	BH
BH_2_4	2023-09-13	7.1	7.8	1	BH
BH_2_4	2023-09-20	7.8	8.3	1	BH
BH_2_4	2023-09-27	8.3	6.5	1	BH
BH_2_4	2023-10-20	6.5	NA	1	BH
BH_2_5	2023-07-03	2	4.2	1	BH
BH_2_5	2023-07-26	4.2	4.8	1	BH
BH_2_5	2023-08-02	4.8	6.4	1	BH
BH_2_5	2023-08-16	6.4	5.8	1	BH
BH_2_5	2023-08-23	5.8	8.8	1	BH
BH_2_5	2023-08-30	8.8	9.4	1	BH
BH_2_5	2023-09-06	9.4	10.7	1	BH
BH_2_5	2023-09-13	10.7	12.1	1	BH
BH_2_5	2023-09-20	12.1	7.3	1	BH
BH_2_5	2023-09-27	7.3	8.1	1	BH
BH_2_5	2023-10-20	8.1	NA	1	BH
BH_2_6	2023-07-03	3.1	4.2	0	BH
BH_2_6	2023-07-26	4.2	NA	0	BH
BH_2_7	2023-07-03	1.9	3.5	1	BH
BH_2_7	2023-07-26	3.5	4	0	BH
BH_2_7	2023-08-02	4	NA	0	BH
BH_2_8	2023-07-03	2.1	4	0	BH
BH_2_8	2023-07-26	4	NA	0	BH
BH_2_9	2023-07-03	3.1	4.9	1	BH
BH_2_9	2023-07-26	4.9	4.7	0	BH
BH_2_9	2023-08-02	4.7	NA	0	BH
BH_3_1	2023-07-03	4	4.9	1	BH
BH_3_1	2023-07-26	4.9	3.7	0	BH
BH_3_1	2023-08-02	3.7	NA	0	BH
BH_3_10	2023-07-03	1.7	NA	0	BH
BH_3_11	2023-07-03	2.4	1.9	1	BH
BH_3_11	2023-07-26	1.9	3.1	1	BH
BH_3_11	2023-08-02	3.1	3.1	1	BH
BH_3_11	2023-08-16	3.1	3.1	1	BH
BH_3_11	2023-08-23	3.1	3.1	1	BH
BH_3_11	2023-08-30	3.1	3.5	1	BH
BH_3_11	2023-09-06	3.5	4.1	1	BH
BH_3_11	2023-09-13	4.1	5.8	1	BH
BH_3_11	2023-09-20	5.8	4.3	1	BH
BH_3_11	2023-10-13	4.3	5.5	1	BH
BH_3_11	2023-10-20	5.5	NA	1	BH
BH_3_12	2023-07-03	1.6	5.8	1	BH
BH_3_12	2023-07-26	5.8	6.2	1	BH
BH_3_12	2023-08-02	6.2	6	1	BH
BH_3_12	2023-08-16	6	5.3	1	BH
BH_3_12	2023-08-23	5.3	6.3	1	BH
BH_3_12	2023-08-30	6.3	5.7	1	BH
BH_3_12	2023-09-06	5.7	6.3	1	BH
BH_3_12	2023-09-13	6.3	6.8	1	BH
BH_3_12	2023-09-20	6.8	7.9	1	BH
BH_3_12	2023-10-13	7.9	7.5	1	BH
BH_3_12	2023-10-20	7.5	NA	1	BH
BH_3_13	2023-07-03	2.8	5.2	1	BH
BH_3_13	2023-07-26	5.2	7	1	BH
BH_3_13	2023-08-02	7	NA	0	BH
BH_3_2	2023-07-03	2.6	NA	0	BH
BH_3_3	2023-07-03	2.1	3.7	1	BH
BH_3_3	2023-07-26	3.7	4.2	1	BH
BH_3_3	2023-08-02	4.2	4.7	1	BH
BH_3_3	2023-08-16	4.7	3.9	1	BH
BH_3_3	2023-08-23	3.9	4.6	1	BH
BH_3_3	2023-08-30	4.6	6.5	1	BH
BH_3_3	2023-09-06	6.5	4.3	1	BH
BH_3_3	2023-09-13	4.3	5.6	1	BH
BH_3_3	2023-09-20	5.6	6.3	1	BH
BH_3_3	2023-09-27	6.3	6.7	1	BH
BH_3_3	2023-10-20	6.7	NA	1	BH
BH_3_4	2023-07-03	2.3	4.8	1	BH
BH_3_4	2023-07-26	4.8	7	1	BH
BH_3_4	2023-08-02	7	5.6	1	BH
BH_3_4	2023-08-16	5.6	6.2	1	BH
BH_3_4	2023-08-23	6.2	5.5	1	BH
BH_3_4	2023-08-30	5.5	6.5	1	BH
BH_3_4	2023-09-06	6.5	7.5	1	BH
BH_3_4	2023-09-13	7.5	8.6	1	BH
BH_3_4	2023-09-20	8.6	8.3	1	BH
BH_3_4	2023-09-27	8.3	9.5	1	BH
BH_3_4	2023-10-20	9.5	NA	1	BH
BH_3_5	2023-07-03	1.6	NA	0	BH
BH_3_6	2023-07-03	2	4.7	1	BH
BH_3_6	2023-07-26	4.7	4.5	1	BH
BH_3_6	2023-08-02	4.5	3.9	1	BH
BH_3_6	2023-08-16	3.9	4.5	1	BH
BH_3_6	2023-08-23	4.5	4.5	1	BH
BH_3_6	2023-08-30	4.5	5.6	1	BH
BH_3_6	2023-09-06	5.6	7.1	1	BH
BH_3_6	2023-09-13	7.1	8.5	1	BH
BH_3_6	2023-09-20	8.5	9	1	BH
BH_3_6	2023-09-27	9	12.2	1	BH
BH_3_6	2023-10-20	12.2	NA	1	BH
BH_3_7	2023-07-03	1.9	3.7	1	BH
BH_3_7	2023-07-26	3.7	4.4	1	BH
BH_3_7	2023-08-02	4.4	4.2	1	BH
BH_3_7	2023-08-16	4.2	3.1	1	BH
BH_3_7	2023-08-23	3.1	4.8	1	BH
BH_3_7	2023-08-30	4.8	4.7	1	BH
BH_3_7	2023-09-06	4.7	5.2	1	BH
BH_3_7	2023-09-13	5.2	5.4	1	BH
BH_3_7	2023-09-20	5.4	6.1	1	BH
BH_3_7	2023-09-27	6.1	5.4	1	BH
BH_3_7	2023-10-20	5.4	NA	1	BH
BH_3_8	2023-07-03	2.5	3.6	1	BH
BH_3_8	2023-07-26	3.6	4.6	1	BH
BH_3_8	2023-08-02	4.6	5.8	1	BH
BH_3_8	2023-08-16	5.8	6.2	1	BH
BH_3_8	2023-08-23	6.2	7.3	1	BH
BH_3_8	2023-08-30	7.3	7.6	1	BH
BH_3_8	2023-09-06	7.6	8.7	1	BH
BH_3_8	2023-09-13	8.7	9.5	1	BH
BH_3_8	2023-09-20	9.5	10.2	1	BH
BH_3_8	2023-09-27	10.2	10.9	1	BH
BH_3_8	2023-10-20	10.9	NA	1	BH
BH_3_9	2023-07-03	2.7	NA	0	BH
BH_4_1	2023-07-03	3.5	4.6	1	BH
BH_4_1	2023-07-26	4.6	4.9	1	BH
BH_4_1	2023-08-02	4.9	4.8	1	BH
BH_4_1	2023-08-16	4.8	5.3	1	BH
BH_4_1	2023-08-23	5.3	4.7	1	BH
BH_4_1	2023-08-30	4.7	4.4	1	BH
BH_4_1	2023-09-06	4.4	5	1	BH
BH_4_1	2023-09-13	5	5	1	BH
BH_4_1	2023-09-20	5	5.3	1	BH
BH_4_1	2023-10-13	5.3	5.6	1	BH
BH_4_1	2023-10-20	5.6	NA	1	BH
BH_4_10	2023-07-03	1.5	4.2	1	BH
BH_4_10	2023-07-26	4.2	6.2	1	BH
BH_4_10	2023-08-02	6.2	4.4	1	BH
BH_4_10	2023-08-16	4.4	5	1	BH
BH_4_10	2023-08-23	5	4.9	1	BH
BH_4_10	2023-08-30	4.9	5.7	1	BH
BH_4_10	2023-09-06	5.7	5.5	1	BH
BH_4_10	2023-09-13	5.5	5.4	1	BH
BH_4_10	2023-09-20	5.4	5.5	1	BH
BH_4_10	2023-10-13	5.5	6.2	1	BH
BH_4_10	2023-10-20	6.2	NA	1	BH
BH_4_11	2023-07-03	2	4.6	1	BH
BH_4_11	2023-07-26	4.6	6	1	BH
BH_4_11	2023-08-02	6	4.6	1	BH
BH_4_11	2023-08-16	4.6	4.9	1	BH
BH_4_11	2023-08-23	4.9	5.6	1	BH
BH_4_11	2023-08-30	5.6	5.2	1	BH
BH_4_11	2023-09-06	5.2	5.4	1	BH
BH_4_11	2023-09-13	5.4	6.7	1	BH
BH_4_11	2023-09-20	6.7	6.2	1	BH
BH_4_11	2023-10-13	6.2	6.3	1	BH
BH_4_11	2023-10-20	6.3	NA	1	BH
BH_4_12	2023-07-03	2.1	6.8	1	BH
BH_4_12	2023-07-26	6.8	9	1	BH
BH_4_12	2023-08-02	9	7.6	1	BH
BH_4_12	2023-08-16	7.6	8.1	1	BH
BH_4_12	2023-08-23	8.1	9.5	1	BH
BH_4_12	2023-08-30	9.5	10.6	1	BH
BH_4_12	2023-09-06	10.6	11.2	1	BH
BH_4_12	2023-09-13	11.2	10.5	1	BH
BH_4_12	2023-09-20	10.5	11.7	1	BH
BH_4_12	2023-10-13	11.7	11.3	1	BH
BH_4_12	2023-10-20	11.3	NA	1	BH
BH_4_13	2023-07-03	1.9	5.9	1	BH
BH_4_13	2023-07-26	5.9	7.1	1	BH
BH_4_13	2023-08-02	7.1	NA	0	BH
BH_4_2	2023-07-03	3	5.7	1	BH
BH_4_2	2023-07-26	5.7	5.9	1	BH
BH_4_2	2023-08-02	5.9	6.2	1	BH
BH_4_2	2023-08-16	6.2	6.8	1	BH
BH_4_2	2023-08-23	6.8	5.5	1	BH
BH_4_2	2023-08-30	5.5	6.1	1	BH
BH_4_2	2023-09-06	6.1	7.4	1	BH
BH_4_2	2023-09-13	7.4	6.6	1	BH
BH_4_2	2023-09-20	6.6	6.8	1	BH
BH_4_2	2023-10-13	6.8	6.7	1	BH
BH_4_2	2023-10-20	6.7	NA	1	BH
BH_4_3	2023-07-03	2.1	5.2	1	BH
BH_4_3	2023-07-26	5.2	5.5	1	BH
BH_4_3	2023-08-02	5.5	5.3	1	BH
BH_4_3	2023-08-16	5.3	5.1	1	BH
BH_4_3	2023-08-23	5.1	5.2	1	BH
BH_4_3	2023-08-30	5.2	5.6	1	BH
BH_4_3	2023-09-06	5.6	5.7	1	BH
BH_4_3	2023-09-13	5.7	6.5	1	BH
BH_4_3	2023-09-20	6.5	7.6	1	BH
BH_4_3	2023-09-27	7.6	7.2	1	BH
BH_4_3	2023-10-20	7.2	NA	1	BH
BH_4_4	2023-07-03	2.6	2.8	1	BH
BH_4_4	2023-07-26	2.8	NA	0	BH
BH_4_5	2023-07-03	1.9	6.7	1	BH
BH_4_5	2023-07-26	6.7	6.3	1	BH
BH_4_5	2023-08-02	6.3	5.5	1	BH
BH_4_5	2023-08-16	5.5	6.6	1	BH
BH_4_5	2023-08-23	6.6	6.6	1	BH
BH_4_5	2023-08-30	6.6	6.9	1	BH
BH_4_5	2023-09-06	6.9	7.6	1	BH
BH_4_5	2023-09-13	7.6	8.2	1	BH
BH_4_5	2023-09-20	8.2	8.4	1	BH
BH_4_5	2023-09-27	8.4	10.1	1	BH
BH_4_5	2023-10-20	10.1	NA	1	BH
BH_4_6	2023-07-03	2	NA	0	BH
BH_4_7	2023-07-03	1.4	4.4	1	BH
BH_4_7	2023-07-26	4.4	4.8	1	BH
BH_4_7	2023-08-02	4.8	3.9	1	BH
BH_4_7	2023-08-16	3.9	4.2	1	BH
BH_4_7	2023-08-23	4.2	4.2	1	BH
BH_4_7	2023-08-30	4.2	4.7	1	BH
BH_4_7	2023-09-06	4.7	4.9	1	BH
BH_4_7	2023-09-13	4.9	5.3	1	BH
BH_4_7	2023-09-20	5.3	5.7	1	BH
BH_4_7	2023-09-27	5.7	6.7	1	BH
BH_4_7	2023-10-20	6.7	NA	1	BH
BH_4_8	2023-07-03	1.1	NA	0	BH
BH_4_9	2023-07-03	2.9	NA	0	BH
BH_5_1	2023-07-03	3.1	2.4	1	BH
BH_5_1	2023-07-26	2.4	NA	0	BH
BH_5_10	2023-07-03	2.6	7	1	BH
BH_5_10	2023-07-26	7	8.5	1	BH
BH_5_10	2023-08-02	8.5	6.5	1	BH
BH_5_10	2023-08-16	6.5	6.6	1	BH
BH_5_10	2023-08-23	6.6	7.2	1	BH
BH_5_10	2023-08-30	7.2	8.5	1	BH
BH_5_10	2023-09-06	8.5	8.7	1	BH
BH_5_10	2023-09-13	8.7	9.3	1	BH
BH_5_10	2023-09-20	9.3	6.1	1	BH
BH_5_10	2023-10-13	6.1	6.7	1	BH
BH_5_10	2023-10-20	6.7	NA	1	BH
BH_5_11	2023-07-03	2.5	2.6	1	BH
BH_5_11	2023-07-26	2.6	3.1	1	BH
BH_5_11	2023-08-02	3.1	NA	0	BH
BH_5_12	2023-07-03	2.2	3.7	1	BH
BH_5_12	2023-07-26	3.7	4.9	1	BH
BH_5_12	2023-08-02	4.9	6.1	1	BH
BH_5_12	2023-08-16	6.1	5.5	1	BH
BH_5_12	2023-08-23	5.5	8.2	1	BH
BH_5_12	2023-08-30	8.2	9.1	1	BH
BH_5_12	2023-09-06	9.1	9.3	1	BH
BH_5_12	2023-09-13	9.3	9.1	1	BH
BH_5_12	2023-09-20	9.1	10.5	1	BH
BH_5_12	2023-10-13	10.5	11.2	1	BH
BH_5_12	2023-10-20	11.2	NA	1	BH
BH_5_13	2023-07-03	1.9	4.3	1	BH
BH_5_13	2023-07-26	4.3	NA	0	BH
BH_5_2	2023-07-03	2.5	4.7	1	BH
BH_5_2	2023-07-26	4.7	4.8	1	BH
BH_5_2	2023-08-02	4.8	3.2	1	BH
BH_5_2	2023-08-16	3.2	5.2	1	BH
BH_5_2	2023-08-23	5.2	5.5	1	BH
BH_5_2	2023-08-30	5.5	5.2	1	BH
BH_5_2	2023-09-06	5.2	5.3	1	BH
BH_5_2	2023-09-13	5.3	5.1	1	BH
BH_5_2	2023-09-20	5.1	5.4	1	BH
BH_5_2	2023-10-13	5.4	5.6	1	BH
BH_5_2	2023-10-20	5.6	NA	1	BH
BH_5_3	2023-07-03	2.1	NA	0	BH
BH_5_4	2023-07-03	2.9	6.1	1	BH
BH_5_4	2023-07-26	6.1	7.6	1	BH
BH_5_4	2023-08-02	7.6	7.2	1	BH
BH_5_4	2023-08-16	7.2	7.7	1	BH
BH_5_4	2023-08-23	7.7	8	1	BH
BH_5_4	2023-08-30	8	7.6	1	BH
BH_5_4	2023-09-06	7.6	8.5	1	BH
BH_5_4	2023-09-13	8.5	9.7	1	BH
BH_5_4	2023-09-20	9.7	11.2	1	BH
BH_5_4	2023-09-27	11.2	11.1	1	BH
BH_5_4	2023-10-20	11.1	NA	1	BH
BH_5_5	2023-07-03	3.8	5.7	1	BH
BH_5_5	2023-07-26	5.7	4.9	1	BH
BH_5_5	2023-08-02	4.9	7.7	1	BH
BH_5_5	2023-08-16	7.7	5.2	1	BH
BH_5_5	2023-08-23	5.2	5.9	1	BH
BH_5_5	2023-08-30	5.9	9.6	1	BH
BH_5_5	2023-09-06	9.6	10.1	1	BH
BH_5_5	2023-09-13	10.1	10.7	1	BH
BH_5_5	2023-09-20	10.7	11.9	1	BH
BH_5_5	2023-09-27	11.9	15	1	BH
BH_5_5	2023-10-20	15	NA	1	BH
BH_5_6	2023-07-03	3.2	NA	0	BH
BH_5_7	2023-07-03	2.6	4	1	BH
BH_5_7	2023-07-26	4	6	1	BH
BH_5_7	2023-08-02	6	4.4	1	BH
BH_5_7	2023-08-16	4.4	2.6	1	BH
BH_5_7	2023-08-23	2.6	5.5	1	BH
BH_5_7	2023-08-30	5.5	2.7	1	BH
BH_5_7	2023-09-06	2.7	5.5	1	BH
BH_5_7	2023-09-13	5.5	4.5	1	BH
BH_5_7	2023-09-20	4.5	4.5	1	BH
BH_5_7	2023-09-27	4.5	4.6	1	BH
BH_5_7	2023-10-20	4.6	NA	1	BH
BH_5_8	2023-07-03	1.4	4.1	1	BH
BH_5_8	2023-07-26	4.1	4.7	1	BH
BH_5_8	2023-08-02	4.7	4.9	1	BH
BH_5_8	2023-08-16	4.9	4.6	1	BH
BH_5_8	2023-08-23	4.6	5.4	1	BH
BH_5_8	2023-08-30	5.4	5.7	1	BH
BH_5_8	2023-09-06	5.7	6.3	1	BH
BH_5_8	2023-09-13	6.3	6.6	1	BH
BH_5_8	2023-09-20	6.6	6.4	1	BH
BH_5_8	2023-09-27	6.4	6.7	1	BH
BH_5_8	2023-10-20	6.7	NA	1	BH
BH_5_9	2023-07-03	1.1	NA	0	BH
BH_6_1	2023-07-03	2	5.1	1	BH
BH_6_1	2023-07-26	5.1	8.2	1	BH
BH_6_1	2023-08-02	8.2	6.1	1	BH
BH_6_1	2023-08-16	6.1	5.8	1	BH
BH_6_1	2023-08-23	5.8	6.1	1	BH
BH_6_1	2023-08-30	6.1	4.9	1	BH
BH_6_1	2023-09-06	4.9	5.8	1	BH
BH_6_1	2023-09-13	5.8	6.7	1	BH
BH_6_1	2023-09-20	6.7	6.9	1	BH
BH_6_1	2023-10-13	6.9	6.9	1	BH
BH_6_1	2023-10-20	6.9	NA	1	BH
BH_6_10	2023-07-03	3.1	4.7	1	BH
BH_6_10	2023-07-26	4.7	4.8	1	BH
BH_6_10	2023-08-02	4.8	2.1	1	BH
BH_6_10	2023-08-16	2.1	2.3	1	BH
BH_6_10	2023-08-23	2.3	6.2	1	BH
BH_6_10	2023-08-30	6.2	3.7	1	BH
BH_6_10	2023-09-06	3.7	5	1	BH
BH_6_10	2023-09-13	5	8	1	BH
BH_6_10	2023-09-20	8	10.2	1	BH
BH_6_10	2023-10-13	10.2	10.6	1	BH
BH_6_10	2023-10-20	10.6	NA	1	BH
BH_6_11	2023-07-03	2.3	3.7	1	BH
BH_6_11	2023-07-26	3.7	7.5	1	BH
BH_6_11	2023-08-02	7.5	6.2	1	BH
BH_6_11	2023-08-16	6.2	6.2	1	BH
BH_6_11	2023-08-23	6.2	7.9	1	BH
BH_6_11	2023-08-30	7.9	8.6	1	BH
BH_6_11	2023-09-06	8.6	9.3	1	BH
BH_6_11	2023-09-13	9.3	9.8	1	BH
BH_6_11	2023-09-20	9.8	10.3	1	BH
BH_6_11	2023-10-13	10.3	10.5	1	BH
BH_6_11	2023-10-20	10.5	NA	1	BH
BH_6_12	2023-07-03	1.9	4.3	1	BH
BH_6_12	2023-07-26	4.3	6.9	1	BH
BH_6_12	2023-08-02	6.9	5.9	1	BH
BH_6_12	2023-08-16	5.9	6.4	1	BH
BH_6_12	2023-08-23	6.4	8	1	BH
BH_6_12	2023-08-30	8	8.5	1	BH
BH_6_12	2023-09-06	8.5	8.2	1	BH
BH_6_12	2023-09-13	8.2	8	1	BH
BH_6_12	2023-09-20	8	8.8	1	BH
BH_6_12	2023-10-13	8.8	9.5	1	BH
BH_6_12	2023-10-20	9.5	NA	1	BH
BH_6_13	2023-07-03	2.7	3.6	1	BH
BH_6_13	2023-07-26	3.6	4	1	BH
BH_6_13	2023-08-02	4	NA	0	BH
BH_6_2	2023-07-03	1.8	3.5	1	BH
BH_6_2	2023-07-26	3.5	3.4	1	BH
BH_6_2	2023-08-02	3.4	3.3	1	BH
BH_6_2	2023-08-16	3.3	3.6	1	BH
BH_6_2	2023-08-23	3.6	3.2	1	BH
BH_6_2	2023-08-30	3.2	3.9	1	BH
BH_6_2	2023-09-06	3.9	3.3	1	BH
BH_6_2	2023-09-13	3.3	3.6	1	BH
BH_6_2	2023-09-20	3.6	3.8	1	BH
BH_6_2	2023-10-13	3.8	3.5	1	BH
BH_6_2	2023-10-20	3.5	NA	1	BH
BH_6_3	2023-07-03	2.5	NA	0	BH
BH_6_4	2023-07-03	1.8	4.4	1	BH
BH_6_4	2023-07-26	4.4	4.6	1	BH
BH_6_4	2023-08-02	4.6	4.7	1	BH
BH_6_4	2023-08-16	4.7	5.7	1	BH
BH_6_4	2023-08-23	5.7	6.9	1	BH
BH_6_4	2023-08-30	6.9	6.8	1	BH
BH_6_4	2023-09-06	6.8	7.4	1	BH
BH_6_4	2023-09-13	7.4	7.9	1	BH
BH_6_4	2023-09-20	7.9	5.2	1	BH
BH_6_4	2023-09-27	5.2	8	1	BH
BH_6_4	2023-10-20	8	NA	1	BH
BH_6_5	2023-07-03	1.9	4.7	1	BH
